CPUs ; ALG ; MAP ; TIME
1 ; 1 ; 1 ; 0,091
1 ; 1 ; 1 ; 0,090
1 ; 1 ; 1 ; 0,089
1 ; 1 ; 1 ; 0,089
1 ; 1 ; 1 ; 0,088
1 ; 1 ; 1 ; 0,087
1 ; 1 ; 1 ; 0,091
1 ; 1 ; 1 ; 0,090
1 ; 1 ; 1 ; 0,092
1 ; 1 ; 1 ; 0,088
1 ; 1 ; 1 ; 0,089
1 ; 1 ; 1 ; 0,093
1 ; 1 ; 1 ; 0,086
1 ; 1 ; 1 ; 0,091
1 ; 1 ; 1 ; 0,092
1 ; 1 ; 1 ; 0,089
1 ; 1 ; 1 ; 0,088
1 ; 1 ; 1 ; 0,088
1 ; 1 ; 1 ; 0,086
1 ; 1 ; 1 ; 0,090
1 ; 1 ; 1 ; 0,088
1 ; 1 ; 1 ; 0,092
1 ; 1 ; 1 ; 0,092
1 ; 1 ; 1 ; 0,089
1 ; 1 ; 1 ; 0,093
1 ; 1 ; 1 ; 0,092
1 ; 1 ; 1 ; 0,088
1 ; 1 ; 1 ; 0,087
1 ; 1 ; 1 ; 0,088
1 ; 1 ; 1 ; 0,088
1 ; 1 ; 2 ; 0,439
1 ; 1 ; 2 ; 0,441
1 ; 1 ; 2 ; 0,446
1 ; 1 ; 2 ; 0,439
1 ; 1 ; 2 ; 0,440
1 ; 1 ; 2 ; 0,438
1 ; 1 ; 2 ; 0,439
1 ; 1 ; 2 ; 0,435
1 ; 1 ; 2 ; 0,440
1 ; 1 ; 2 ; 0,441
1 ; 1 ; 2 ; 0,439
1 ; 1 ; 2 ; 0,442
1 ; 1 ; 2 ; 0,437
1 ; 1 ; 2 ; 0,440
1 ; 1 ; 2 ; 0,438
1 ; 1 ; 2 ; 0,436
1 ; 1 ; 2 ; 0,440
1 ; 1 ; 2 ; 0,438
1 ; 1 ; 2 ; 0,437
1 ; 1 ; 2 ; 0,435
1 ; 1 ; 2 ; 0,437
1 ; 1 ; 2 ; 0,439
1 ; 1 ; 2 ; 0,447
1 ; 1 ; 2 ; 0,438
1 ; 1 ; 2 ; 0,447
1 ; 1 ; 2 ; 0,438
1 ; 1 ; 2 ; 0,440
1 ; 1 ; 2 ; 0,448
1 ; 1 ; 2 ; 0,438
1 ; 1 ; 2 ; 0,436
1 ; 1 ; 3 ; 0,547
1 ; 1 ; 3 ; 0,534
1 ; 1 ; 3 ; 0,546
1 ; 1 ; 3 ; 0,533
1 ; 1 ; 3 ; 0,536
1 ; 1 ; 3 ; 0,535
1 ; 1 ; 3 ; 0,535
1 ; 1 ; 3 ; 0,550
1 ; 1 ; 3 ; 0,535
1 ; 1 ; 3 ; 0,541
1 ; 1 ; 3 ; 0,536
1 ; 1 ; 3 ; 0,537
1 ; 1 ; 3 ; 0,537
1 ; 1 ; 3 ; 0,536
1 ; 1 ; 3 ; 0,538
1 ; 1 ; 3 ; 0,548
1 ; 1 ; 3 ; 0,543
1 ; 1 ; 3 ; 0,538
1 ; 1 ; 3 ; 0,548
